date,airlineName,flightNumber,craftTypeName,departureCity,departureAirport,departureTime,arrivalCity,arrivalAirport,arrivalTime,stopoverCity,lowestPrice,punctualRate
2020-05-20,南方航空,CZ6113,空客320(中型),鞍山,腾鳌机场,12:35,北京,大兴国际机场,14:10,,700,
2020-05-20,中国联合航空,KN5518,波音737(中型),白城,长安机场,18:20,北京,大兴国际机场,20:30,,398,100%
2020-05-20,中国联合航空,KN5210,波音737(中型),毕节,飞雄机场,12:05,北京,大兴国际机场,15:15,,948,93%
2020-05-20,重庆航空,OQ2301,空客320(中型),重庆,江北国际机场T3,08:00,北京,大兴国际机场,10:35,,727,
2020-05-20,南方航空,CZ2801,空客320(中型),重庆,江北国际机场T3,08:00,北京,大兴国际机场,10:35,,730,
2020-05-20,厦门航空,MF8456,波音738(中型),重庆,江北国际机场T3,11:00,北京,大兴国际机场,13:35,,890,100%
2020-05-20,南方航空,CZ5803,波音738(中型),重庆,江北国际机场T3,11:00,北京,大兴国际机场,13:35,,1070,100%
2020-05-20,南方航空,CZ8816,空客321(中型),重庆,江北国际机场T3,17:20,北京,大兴国际机场,20:05,,1270,
2020-05-20,中国联合航空,KN5216,波音737(中型),成都,双流国际机场T2,22:15,北京,大兴国际机场,00:50 +1天,,764,93%
2020-05-20,中国联合航空,KN5218,波音737(中型),成都,双流国际机场T2,11:35,北京,大兴国际机场,16:25,鄂尔多斯,808,100%
2020-05-20,中国联合航空,KN5228,波音737(中型),成都,双流国际机场T2,20:15,北京,大兴国际机场,23:00,,908,
2020-05-20,中国联合航空,KN5902,波音737(中型),池州,九华山机场,10:55,北京,大兴国际机场,12:50,,438,100%
2020-05-20,中国联合航空,KN2922,波音737(中型),赤峰,玉龙机场,11:10,北京,大兴国际机场,12:40,,736,93%
2020-05-20,中国联合航空,KN5530,波音737(中型),长春,龙嘉国际机场T2,11:50,北京,大兴国际机场,13:50,,491,97%
2020-05-20,河北航空,NS8018,波音738(中型),长春,龙嘉国际机场T2,19:50,北京,大兴国际机场,22:15,,550,100%
2020-05-20,厦门航空,MF7184,波音738(中型),长春,龙嘉国际机场T2,19:50,北京,大兴国际机场,22:15,,800,100%
2020-05-20,南方航空,CZ5080,波音738(中型),长沙,黄花国际机场T2,08:40,北京,大兴国际机场,11:05,,1200,
2020-05-20,厦门航空,MF8191,波音738(中型),长沙,黄花国际机场T2,08:40,北京,大兴国际机场,11:05,,1200,
2020-05-20,南方航空,CZ5060,波音738(中型),长沙,黄花国际机场T2,18:40,北京,大兴国际机场,21:00,,1200,
2020-05-20,厦门航空,MF8147,波音738(中型),长沙,黄花国际机场T2,18:40,北京,大兴国际机场,21:00,,1200,
2020-05-20,南方航空,CZ6121,空客321(中型),大连,周水子国际机场,13:20,北京,大兴国际机场,14:50,,940,
2020-05-20,中国联合航空,KN5218,波音737(中型),鄂尔多斯,伊金霍洛机场,14:50,北京,大兴国际机场,16:25,,458,
2020-05-20,首都航空,JD5212,空客320(中型),二连浩特,赛乌苏国际机场,23:40,北京,大兴国际机场,01:20 +1天,,160,93%
2020-05-20,中国联合航空,KN5952,波音737(中型),佛山,沙堤机场,07:50,北京,大兴国际机场,12:30,上饶,758,
2020-05-20,中国联合航空,KN5776,波音737(中型),福州,长乐国际机场,08:00,北京,大兴国际机场,10:45,,1208,100%
2020-05-20,河北航空,NS8107,波音787(大型),福州,长乐国际机场,12:00,北京,大兴国际机场,15:00,,1889,100%
2020-05-20,南方航空,CZ5042,波音787(大型),福州,长乐国际机场,12:00,北京,大兴国际机场,15:00,,1890,100%
2020-05-20,厦门航空,MF8107,,福州,长乐国际机场,12:00,北京,大兴国际机场,15:00,,1890,100%
2020-05-20,中国联合航空,KN5900,波音737(中型),广州,白云国际机场T1,21:50,北京,大兴国际机场,00:50 +1天,,1158,100%
2020-05-20,厦门航空,MF8188,波音738(中型),广州,白云国际机场T2,12:35,北京,大兴国际机场,15:25,,1550,
2020-05-20,南方航空,CZ5024,波音738(中型),广州,白云国际机场T2,12:35,北京,大兴国际机场,15:25,,1750,
2020-05-20,河北航空,NS8040,波音738(中型),贵阳,龙洞堡国际机场T1,20:00,北京,大兴国际机场,22:50,,972,97%
2020-05-20,厦门航空,MF7206,波音738(中型),贵阳,龙洞堡国际机场T1,20:00,北京,大兴国际机场,22:50,,990,97%
2020-05-20,南方航空,CZ6187,波音738(中型),贵阳,龙洞堡国际机场T2,11:00,北京,大兴国际机场,14:05,,1960,
2020-05-20,河北航空,NS8030,波音738(中型),桂林,两江国际机场T2,12:35,北京,大兴国际机场,15:25,,460,93%
2020-05-20,厦门航空,MF7196,波音738(中型),桂林,两江国际机场T2,12:35,北京,大兴国际机场,15:25,,550,93%
2020-05-20,中国联合航空,KN5506,波音737(中型),哈尔滨,太平国际机场T2,21:00,北京,大兴国际机场,23:20,,558,
2020-05-20,首都航空,JD5596,空客320(中型),海口,美兰国际机场,08:40,北京,大兴国际机场,13:55,梅州,695,
2020-05-20,南方航空,CZ6365,空客321(中型),海口,美兰国际机场,12:55,北京,大兴国际机场,16:50,,700,
2020-05-20,中国联合航空,KN2976,波音737(中型),海拉尔,呼伦贝尔东山国际机场,20:00,北京,大兴国际机场,23:55,乌兰浩特,521,97%
2020-05-20,中国联合航空,KN5620,波音737(中型),汉中,城固机场,20:15,北京,大兴国际机场,22:15,,518,100%
2020-05-20,南方航空,CZ6164,空客321(中型),杭州,萧山国际机场T3,21:10,北京,大兴国际机场,23:35,,430,
2020-05-20,河北航空,NS8020,波音738(中型),杭州,萧山国际机场T3,18:35,北京,大兴国际机场,20:55,,530,100%
2020-05-20,首都航空,JD5352,空客319(中型),杭州,萧山国际机场T3,17:50,北京,大兴国际机场,20:15,,580,97%
2020-05-20,厦门航空,MF7186,波音738(中型),杭州,萧山国际机场T3,18:35,北京,大兴国际机场,20:55,,850,100%
2020-05-20,南方航空,CZ5062,波音738(中型),杭州,萧山国际机场T3,10:00,北京,大兴国际机场,12:25,,1410,100%
2020-05-20,厦门航空,MF8149,波音738(中型),杭州,萧山国际机场T3,10:00,北京,大兴国际机场,12:25,,1410,100%
2020-05-20,首都航空,JD5870,空客 A320(中型),合肥,新桥国际机场,23:00,北京,大兴国际机场,00:55 +1天,,250,97%
2020-05-20,中国联合航空,KN5822,波音737(中型),怀化,芷江机场,11:15,北京,大兴国际机场,13:50,,598,100%
2020-05-20,中国联合航空,KN5616,波音737(中型),惠州,平潭机场,07:15,北京,大兴国际机场,11:40,信阳,733,
2020-05-20,中国联合航空,KN5887,波音737(中型),惠州,平潭机场,16:35,北京,大兴国际机场,19:40,,778,
2020-05-20,首都航空,JD5316,空客320(中型),鸡西,兴凯湖机场,17:20,北京,大兴国际机场,20:15,,985,93%
2020-05-20,厦门航空,MF8212,波音738(中型),嘉峪关,嘉峪关机场,14:10,北京,大兴国际机场,17:05,,2000,
2020-05-20,中国联合航空,KN5652,波音737(中型),金昌,金川机场,14:45,北京,大兴国际机场,19:15,榆林,410,100%
2020-05-20,中国联合航空,KN5968,波音737(中型),晋江,晋江机场,12:10,北京,大兴国际机场,14:40,,1118,
2020-05-20,南方航空,CZ5046,波音738(中型),晋江,晋江机场,13:30,北京,大兴国际机场,16:10,,1120,100%
2020-05-20,厦门航空,MF8113,波音738(中型),晋江,晋江机场,13:30,北京,大兴国际机场,16:10,,1120,100%
2020-05-20,南方航空,CZ6160,空客330(大型),昆明,长水国际机场,20:05,北京,大兴国际机场,23:30,,790,
2020-05-20,中国联合航空,KN5256,波音737(中型),昆明,长水国际机场,11:45,北京,大兴国际机场,16:45,巴中,1278,100%
2020-05-20,东方航空,MU9707,波音737(中型),昆明,长水国际机场,13:25,北京,大兴国际机场,18:20,昭通,3380,
2020-05-20,河北航空,NS8026,波音738(中型),兰州,中川机场T2,17:35,北京,大兴国际机场,19:55,,822,97%
2020-05-20,厦门航空,MF7192,波音738(中型),兰州,中川机场T2,17:35,北京,大兴国际机场,19:55,,840,97%
2020-05-20,中国联合航空,KN5906,波音737(中型),连云港,白塔埠机场,10:20,北京,大兴国际机场,11:50,,418,97%
2020-05-20,东方航空,MU5696,空客321(中型),洛阳,北郊机场,17:00,北京,大兴国际机场,19:00,,1160,97%
2020-05-20,中国联合航空,KN5918,波音737(中型),龙岩,冠豸山机场,13:00,北京,大兴国际机场,15:40,,706,100%
2020-05-20,首都航空,JD5596,空客320(中型),梅州,梅县机场 ,11:00,北京,大兴国际机场,13:55,,1085,97%
2020-05-20,首都航空,JD5768,空客320(中型),南昌,昌北国际机场T2,22:35,北京,大兴国际机场,01:05 +1天,,425,87%
2020-05-20,河北航空,NS8008,波音738(中型),南昌,昌北国际机场T2,12:35,北京,大兴国际机场,14:50,,912,100%
2020-05-20,厦门航空,MF7174,波音738(中型),南昌,昌北国际机场T2,12:35,北京,大兴国际机场,14:50,,930,100%
2020-05-20,南方航空,CZ6945,空客320(中型),南充,高坪机场,20:30,北京,大兴国际机场,23:05,,1510,100%
2020-05-20,南方航空,CZ3277,波音737(中型),南宁,吴圩国际机场T2,08:00,北京,大兴国际机场,11:25,,1810,
2020-05-20,东海航空,DZ6201,波音738(中型),南通,兴东国际机场T3,09:00,北京,大兴国际机场,11:00,,630,
2020-05-20,河北航空,NS8006,波音738(中型),南通,兴东国际机场T3,10:55,北京,大兴国际机场,13:00,,660,100%
2020-05-20,厦门航空,MF7172,波音738(中型),南通,兴东国际机场T3,10:55,北京,大兴国际机场,13:00,,690,100%
2020-05-20,中国联合航空,KN5760,波音737(中型),南阳,姜营机场,15:35,北京,大兴国际机场,17:25,,568,
2020-05-20,中国联合航空,KN5992,波音737(中型),宁波,栎社国际机场T2,16:10,北京,大兴国际机场,18:35,,688,100%
