date,flightNumber,departureCity,arrivalCity,seats
2020/5/20,CZ6113,鞍山,北京,"101100001011100010000000000100111001001101010010111101110110111101110100110010011010001000001101110110101101010111111100101110111001010000111001000110	"
2020/5/20,KN5518,白城,北京,"110100100000000000111111110001111100010111101011001011100011110010001000011000010101011010000010101010010101011100010101011011001101010001100110111101	"
2020/5/20,KN5210,毕节,北京,"111001000000000000111001011010110011010101010111100001111010110101110010011110111100011100111000010101101000110001110111110110010001011101101101111101	"
2020/5/20,OQ2301,重庆,北京,"111101101101010001001110110011001010000010000001011110101011100100011011001100100011101010000101001001110100011001000000101110010001111100000100000011	"
2020/5/20,CZ2801,重庆,北京,"100101111000111000010001110001101111110110100001101000110010110010011111000000110001100111110101101000011000001111101011101101101010010101100101111001	"
2020/5/20,MF8456,重庆,北京,"100100111000001111101011110110111011010111110100000110001010111111010100111010001110111101101100101100110110000101000101101000010001110110000011010011	"
2020/5/20,CZ5803,重庆,北京,"111100010100110000000010100100100101000000110100011100001000111100100110010100110010011101010011000111111000010100010110010111100010011001101101111001	"
2020/5/20,CZ8816,重庆,北京,"101000110110000000101110010010111000011100111111000001010110110110111101001111100011011100101110011111100011110111000001101101011001111000001100100100	"
2020/5/20,KN5216,成都,北京,"111101100011101110001100110111011000111100011101111111110011001100111101000101110100111000001111111101111000011111110100110110110000101100011000110100	"
2020/5/20,KN5218,成都,北京,"110010000110010010011110000010111100100001100010001001101111111000111111001101000111110011101101000010100010010010001111011000101000100010100110001010	"
2020/5/20,KN5228,成都,北京,"101100011101010101101000100100000110000111010111001010011111001110100001110010010010010100010111111011010111100110001010100110001111001110101110001101	"
2020/5/20,KN5902,池州,北京,"110011110101101100000010011010111001100010000011000100110100111100100111001110011101011010111111010110011101000010100111111011101111101001100011010101	"
2020/5/20,KN2922,赤峰,北京,"111111011010111101011111001011111010111000101111110100011000010001111010111110101100100001001101110010000100101110111101100100100111000100001011011111	"
2020/5/20,KN5530,长春,北京,"111010000001110011011101111010011001000100110110011000110111101100101101001100011011111010101010101010011001000111010011000001101011011111101010111101	"
2020/5/20,NS8018,长春,北京,"111111000001001010101001000110011101111101000010010000010010011101110001000011000000110000001101101010000000101110100010111000110101010100110101001010	"
2020/5/20,MF7184,长春,北京,"110111111101110011101101111000010110100010011110111011011111011001011010101101001111101010111111001011110011101101001101011010101100001011111010100011	"
2020/5/20,CZ5080,长沙,北京,"101111001100001100111011000000100010011011001110011100101100110010011110111001100010000001111011111101101110101011111100110101011000101110101100111010	"
2020/5/20,MF8191,长沙,北京,"110010111011011011001011111011110110011000011010001011001000010110000000010011001101000111000110000100001111001011001010011111001110010101110100001110	"
2020/5/20,CZ5060,长沙,北京,"100000101111000011011100000001110110110110001110001010111001110100110010101100001100001110011111100011011100101011100110100001111100000100010010111110	"
2020/5/20,MF8147,长沙,北京,"111010101101100010100011001110011010010101110111010111110100110000100110000110010111101000001010101111000100001011100101000110011001001101111000111000	"
2020/5/20,CZ6121,大连,北京,"100111010110010001111010000101010000011100011100010110001011100010101011011100101000110000111010110011100100111000001100011101100011101101110010010011	"
2020/5/20,KN5218,鄂尔多斯,北京,"111111000111000101011000011111000111100000100000100101100001111110000100011111111001100101010111000001000001101101111100100110001000111111011000101111	"
2020/5/20,JD5212,二连浩特,北京,"101110001101001100110000101001100100101000100110101100111000000010110010010001010010000011011010101111010110011011010000110011011111000110100001000101	"
2020/5/20,KN5952,佛山,北京,"110101110000111111101100110110000011110111111000111111100011011011101100000011101010000011111110011000110111000011010001100001000111101110100000000110	"
2020/5/20,KN5776,福州,北京,"101000100101111110011100011011100010100011111000100110111110011011011011111010000110101000011000111001111010100001011101011100010100010110101001100000	"
2020/5/20,NS8107,福州,北京,"101111011010111100100000011110101010110110110110001000000100111011011111111001000010110000001111001010110001101010001011111101101100110010101001001010101100110001010111000001000010111101111001100100110100000110001101111010011001101010010111	"
2020/5/20,CZ5042,福州,北京,"110000000001110001010001010100101101111100100100001101111111010000110011110111101010011111110100100010101011100111010000110111001011001110111101110110111111101011100110100111100011110010100010111010010111001000110100001100000001011101011001	"
2020/5/20,MF8107,福州,北京,"101010001010011101011110011000111110111110011011111001001000111001100010011001011000010101111011001111101001110010000000000100010010100101001111100011	"
2020/5/20,KN5900,广州,北京,"110111101110010110011101111010001110011110101100111110010111000111011011000110101111110100101000011011010011111000100010101011111100100010001010100110	"
2020/5/20,MF8188,广州,北京,"101111110100110010001111110100000100000111110110110111110010111101000100010000100101110100110001011111111011101010111000110000111000011100100001111111	"
2020/5/20,CZ5024,广州,北京,"110001000101011000010001101111111001011100110110000011111100000111111010010010001110111100010000001110100101011001001011001111010110010000101101111001	"
2020/5/20,NS8040,贵阳,北京,"101001110111111000000101100111101001001000011001000010000000010010100100100010000100101110100001010011100100010110000111101000101110101011000100100110	"
2020/5/20,MF7206,贵阳,北京,"111101000001001101011100110100111111101100111111110011000001101010001010001010000001110011001000010110110111111110001001011100111110011011010111100110	"
2020/5/20,CZ6187,贵阳,北京,"110101011100000010011011111100100111111010111001011100011010101100101010010111110001100100110100101101110111001011001101000101110110111010000100100100	"
2020/5/20,NS8030,桂林,北京,"100110111011100110100011011011101000000111011111010001001010101100001011110001010110111010011010011010010100011101011101111001111110011111011100010100	"
2020/5/20,MF7196,桂林,北京,"100101111111101001010010110011110110110111011011011010010111011011100110000011011111110110000001000101100001110010110111110000110100111011000110011001	"
2020/5/20,KN5506,哈尔滨,北京,"111011101000010001100111011000110010010010001100000100001000000001101011010101111110000010010110001110111110011101101010011101011010101111111001100101	"
2020/5/20,JD5596,海口,北京,"101011101000010001110100101001101111011001011001101011000001011110001001000111001000011100010000000000010111110110100011110000111101101100000011010011	"
2020/5/20,CZ6365,海口,北京,"111110111111011001100111011011111111100110011101000110110000100101000011101010101110010011000011000110111000000101100100011000100011110001000000010111	"
2020/5/20,KN2976,海拉尔,北京,"111101100101100101111000011000011001001100101010010001111111111000110110110010100001101001100100110111100111101001000110011010101001100101111000100110	"
2020/5/20,KN5620,汉中,北京,"110000100111100111100001010010101100110101110011011000010100010100000110111010111011001011000100101110110111010110101000111001110111011001111001101111	"
2020/5/20,CZ6164,杭州,北京,"110110111100010111011011010011011010100101101101111110000011110011111100000010000000011110100101110111111010110000111111110010111001000101000110110001	"
2020/5/20,NS8020,杭州,北京,"100010010100011011001101110000010110110100001001101110110001101111010011001111010110111011001100110101110000111111010110101110111101101101111101011001	"
2020/5/20,JD5352,杭州,北京,"110001111001100000101101110001110011000010110011100100011011010111100101000101001001000000111001011100010000011000100101100000111000010010111100011110	"
2020/5/20,MF7186,杭州,北京,"111011111101011001110011110100100111110010000010111000110101110111110000100101011000000110110100001000110101011111000111111100101000111101101100010110	"
