date,airlineName,flightNumber,departureCity,departureAirport,departureTime,arrivalCity,arrivalAirport,arrivalTime,transitCity,transitInterval,lowestPrice,punctualRate
2020/5/20,南方航空 南方航空,CZ8671 CZ2801,阿克苏,阿克苏机场,18:50,北京,大兴国际机场,10:35 +1天,重庆,停留9时,1860,None None
2020/5/20,南方航空 河北航空,CZ6895 NS8032,阿克苏,阿克苏机场,10:45,北京,大兴国际机场,21:30,西安,停留4时40分,1960,97% None
2020/5/20,南方航空 南方航空,CZ6895 CZ8824,阿克苏,阿克苏机场,10:45,北京,大兴国际机场,18:45,西安,停留2时10分,2990,None None
2020/5/20,华夏航空 南方航空,G52716 CZ2801,阿拉善左旗,阿拉善左旗机场,20:05,北京,大兴国际机场,10:35 +1天,重庆,停留9时50分,1270,90% 100.00%
2020/5/20,祥鹏航空 中国联合航空,8L9959 KN5992,安庆,天柱山机场,10:45,北京,大兴国际机场,18:35,宁波,停留4时10分,1009,100% 100%
2020/5/20,春秋航空 中国联合航空,9C8678 KN5978,安顺,黄果树机场,16:15,北京,大兴国际机场,14:35 +1天,上海,停留17时10分,1124,100% 93%
2020/5/20,四川航空 南方航空,3U8804 CZ2801,百色,百色机场,18:10,北京,大兴国际机场,10:35 +1天,重庆,停留12时25分,1120,100% 100.00%
2020/5/20,天津航空 河北航空,GS7604 NS8032,百色,百色机场,23:10,北京,大兴国际机场,21:30 +1天,西安,停留17时30分,1123,90% 97%
2020/5/20,上海航空 中国联合航空,FM9136 KN5978,包头,包头东河机场,20:50,北京,大兴国际机场,14:35 +1天,上海,停留12时40分,864,97% 93%
2020/5/20,南方航空 中国联合航空,CZ3196 KN5900,包头,包头东河机场,8:25,北京,大兴国际机场,00:50 +1天,广州,停留8时35分,1905,90% None
2020/5/20,红土航空 中国联合航空,A67118 KN5256,保山,保山机场,23:05,北京,大兴国际机场,16:45 +1天,昆明,停留11时30分,1447,98.32% None
2020/5/20,东方航空 南方航空,MU5984 CZ6160,保山,保山机场,8:35,北京,大兴国际机场,23:30,昆明,停留10时25分,2060,100% None
2020/5/20,祥鹏航空 南方航空,8L9944 CZ6160,保山,保山机场,10:50,北京,大兴国际机场,23:30,昆明,停留8时15分,2101,93% None
2020/5/20,东方航空 南方航空,MU5741 CZ6160,保山,保山机场,16:15,北京,大兴国际机场,23:30,昆明,停留2时45分,2500,None None
2020/5/20,昆明航空 中国联合航空,KY8334 KN5256,保山,保山机场,7:00,北京,大兴国际机场,16:45,昆明,停留3时30分,2516,100% 100%
2020/5/20,中国国航 中国联合航空,CA4410 KN5216,昌都,邦达机场,10:40,北京,大兴国际机场,00:50 +1天,成都,停留10时20分,1894,83% 93%
2020/5/20,东方航空 南方航空,MU9885 CZ6164,常德,桃花源机场T2,9:00,北京,大兴国际机场,23:35,杭州,停留10时20分,970,100% None
2020/5/20,东方航空 河北航空,MU9885 NS8020,常德,桃花源机场T2,9:00,北京,大兴国际机场,20:55,杭州,停留7时45分,1070,100% 100%
2020/5/20,东方航空 中国联合航空,MU9886 KN5216,常德,桃花源机场T2,14:55,北京,大兴国际机场,00:50 +1天,成都,停留5时35分,1169,100% 93%
2020/5/20,长龙航空 南方航空,GJ8758 CZ6164,赤峰,玉龙机场,15:00,北京,大兴国际机场,23:35,杭州,停留3时40分,1107,90% None
2020/5/20,春秋航空 南方航空,9C8537 CZ6164,揭阳,潮汕机场,13:05,北京,大兴国际机场,23:35,杭州,停留6时20分,950,100% None
2020/5/20,春秋航空 河北航空,9C8537 NS8020,揭阳,潮汕机场,13:05,北京,大兴国际机场,20:55,杭州,停留3时45分,1050,100% 100%
2020/5/20,东方航空 南方航空,MU5958 CZ6160,沧源,佤山机场,20:35,北京,大兴国际机场,23:30 +1天,昆明,停留22时30分,1310,89.44% None
2020/5/20,东方航空 中国联合航空,MU5755 KN5228,大理,大理机场,16:40,北京,大兴国际机场,23:00,成都,停留2时,1758,None None
2020/5/20,山东航空 河北航空,SC4683 NS8026,大同,云冈机场,9:40,北京,大兴国际机场,19:55,兰州,停留5时55分,1912,97% None
2020/5/20,中国国航 中国联合航空,CA4216 KN5218,稻城,亚丁机场,8:15,北京,大兴国际机场,16:25,成都,停留2时10分,1708,87% 100%
2020/5/20,四川航空 中国联合航空,3U8114 KN5228,稻城,亚丁机场,13:15,北京,大兴国际机场,23:00,成都,停留5时50分,1928,None None
2020/5/20,青岛航空 河北航空,QW6157 NS8018,东营,胜利机场,9:40,北京,大兴国际机场,22:15,长春,停留8时25分,938,100% None
2020/5/20,春秋航空 河北航空,9C6138 NS8026,敦煌,敦煌机场,16:50,北京,大兴国际机场,19:55 +1天,兰州,停留22时40分,809,97% None
2020/5/20,乌鲁木齐航空 南方航空,UQ2585 CZ6164,敦煌,敦煌机场,13:15,北京,大兴国际机场,23:35,杭州,停留3时55分,926,None None
2020/5/20,春秋航空 河北航空,9C8848 NS8026,敦煌,敦煌机场,14:00,北京,大兴国际机场,19:55,兰州,停留1时40分,981,97% None
2020/5/20,瑞丽航空 中国联合航空,DR6506 KN5256,芒市,德宏芒市机场,23:15,北京,大兴国际机场,16:45 +1天,昆明,停留11时15分,1314,97% 98.32%
2020/5/20,东方航空 南方航空,MU5976 CZ6160,芒市,德宏芒市机场,15:15,北京,大兴国际机场,23:30,昆明,停留3时40分,1600,100% None
2020/5/20,祥鹏航空 中国联合航空,8L9922 KN5256,芒市,德宏芒市机场,8:50,北京,大兴国际机场,16:45,昆明,停留1时50分,1969,97% 100%
2020/5/20,春秋航空 中国联合航空,9C8524 KN5978,恩施,许家坪机场,21:15,北京,大兴国际机场,14:35 +1天,上海,停留12时45分,824,93% None
2020/5/20,东方航空 河北航空,MU2603 NS8040,恩施,许家坪机场,11:00,北京,大兴国际机场,22:50,贵阳,停留7时50分,1272,87% 97%
2020/5/20,祥鹏航空 南方航空,8L9843 CZ6164,赣州,黄金机场T2,12:15,北京,大兴国际机场,23:35,杭州,停留7时30分,941,None None
2020/5/20,长龙航空 中国联合航空,GJ8072 KN5992,赣州,黄金机场T2,12:35,北京,大兴国际机场,18:35,宁波,停留1时55分,1055,100% 100%
2020/5/20,华夏航空 厦门航空,G58574 MF8202,格尔木,格尔木机场,12:40,北京,大兴国际机场,21:25,西宁,停留5时15分,1547,None None
2020/5/20,华夏航空 河北航空,G52669 NS8016,固原,六盘山机场,19:45,北京,大兴国际机场,13:05 +1天,银川,停留14时30分,520,93% 100%
2020/5/20,厦门航空 河北航空,MF8264 NS8032,固原,六盘山机场,14:00,北京,大兴国际机场,21:30,西安,停留3时50分,1100,100% 97%
2020/5/20,中国国航 南方航空,CA1774 CZ6164,广元,盘龙机场,11:00,北京,大兴国际机场,23:35,杭州,停留7时40分,1150,100% None
2020/5/20,中国国航 河北航空,CA1774 NS8020,广元,盘龙机场,11:00,北京,大兴国际机场,20:55,杭州,停留5时5分,1250,100% 100%
2020/5/20,四川航空 南方航空,3U8948 CZ6160,广元,盘龙机场,14:55,北京,大兴国际机场,23:30,昆明,停留3时25分,1680,100% None
2020/5/20,华夏航空 厦门航空,G54356 MF8202,哈密,哈密机场,13:30,北京,大兴国际机场,21:25,西宁,停留3时45分,1750,97% None
2020/5/20,天津航空 河北航空,GS7652 NS8032,哈密,哈密机场,10:40,北京,大兴国际机场,21:30,西安,停留5时40分,2630,100% 97%
2020/5/20,上海航空 中国联合航空,FM9255 KN5218,邯郸,邯郸机场,11:20,北京,大兴国际机场,16:25,鄂尔多斯,停留2时5分,788,90% None
2020/5/20,南方航空 河北航空,CZ5695 NS8032,和田,和田机场,10:15,北京,大兴国际机场,21:30,西安,停留2时45分,1620,97% None
2020/5/20,春秋航空 河北航空,9C8858 NS8028,淮安,涟水机场,10:50,北京,大兴国际机场,14:10 +1天,宁波,停留23时50分,922,100% 97%
2020/5/20,春秋航空 中国联合航空,9C8858 KN5992,淮安,涟水机场,10:50,北京,大兴国际机场,18:35,宁波,停留4时5分,938,100% 100%
2020/5/20,山东航空 南方航空,SC4916 CZ6121,济南,遥墙国际机场,19:30,北京,大兴国际机场,14:50 +1天,大连,停留16时40分,890,93% 100.00%
2020/5/20,山东航空 南方航空,SC8795 CZ6121,济南,遥墙国际机场,10:30,北京,大兴国际机场,14:50,大连,停留1时45分,1110,None None
2020/5/20,东方航空 河北航空,MU9882 NS8016,嘉峪关,嘉峪关机场,12:35,北京,大兴国际机场,13:05 +1天,银川,停留20时40分,920,100% None
2020/5/20,东方航空 河北航空,MU2417 NS8026,嘉峪关,嘉峪关机场,17:00,北京,大兴国际机场,19:55 +1天,兰州,停留23时5分,1080,97% 97%
2020/5/20,东方航空 中国联合航空,MU9698 KN5970,锦州,锦州湾机场,15:40,北京,大兴国际机场,14:15 +1天,烟台,停留19时40分,708,90% 96.61%
2020/5/20,祥鹏航空 河北航空,8L9639 NS8032,西双版纳,嘎洒国际机场,18:30,北京,大兴国际机场,21:30 +1天,西安,停留21时55分,906,93% 97%
2020/5/20,成都航空 南方航空,EU2226 CZ6160,西双版纳,嘎洒国际机场,16:50,北京,大兴国际机场,23:30,昆明,停留2时15分,966,None None
2020/5/20,瑞丽航空 中国联合航空,DR6516 KN5256,西双版纳,嘎洒国际机场,23:40,北京,大兴国际机场,16:45 +1天,昆明,停留11时,1035,98.32% None
2020/5/20,南方航空 南方航空,CZ6176 CZ8816,西双版纳,嘎洒国际机场,13:00,北京,大兴国际机场,20:05,重庆,停留2时30分,1140,90% None
2020/5/20,瑞丽航空 中国联合航空,DR6514 KN5256,西双版纳,嘎洒国际机场,8:55,北京,大兴国际机场,16:45,昆明,停留1时45分,1477,100% None
2020/5/20,东方航空 河北航空,MU2322 NS8032,克拉玛依,克拉玛依机场,20:20,北京,大兴国际机场,21:30 +1天,西安,停留19时5分,990,97% 97%
2020/5/20,中国国航 中国联合航空,CA4032 KN5228,克拉玛依,克拉玛依机场,14:10,北京,大兴国际机场,23:00,成都,停留2时25分,1828,97% None
2020/5/20,中国国航 中国联合航空,CA4280 KN5216,库车,龟兹机场,13:05,北京,大兴国际机场,00:50 +1天,成都,停留5时20分,1674,100% 93%
2020/5/20,西部航空 南方航空,PN6388 CZ2801,库尔勒,库尔勒机场,21:25,北京,大兴国际机场,10:35 +1天,重庆,停留6时35分,1070,97% 100.00%
2020/5/20,东方航空 南方航空,MU2355 CZ8824,库尔勒,库尔勒机场,15:25,北京,大兴国际机场,18:45 +1天,西安,停留21时35分,1470,None None
2020/5/20,华夏航空 河北航空,G52824 NS8026,库尔勒,库尔勒机场,8:40,北京,大兴国际机场,19:55,兰州,停留4时20分,1622,100% 97%
2020/5/20,西部航空 南方航空,PN6392 CZ2801,拉萨,贡嘎国际机场,19:10,北京,大兴国际机场,10:35 +1天,重庆,停留10时10分,1240,87% 100.00%
2020/5/20,南方航空 南方航空,CZ2866 CZ2801,拉萨,贡嘎国际机场,21:45,北京,大兴国际机场,10:35 +1天,重庆,停留7时55分,1350,93% 100.00%
2020/5/20,四川航空 河北航空,3U8600 NS8032,拉萨,贡嘎国际机场,12:55,北京,大兴国际机场,21:30,西安,停留2时,1590,90% 97%
2020/5/20,首都航空 河北航空,JD5522 NS8032,丽江,三义机场,21:45,北京,大兴国际机场,21:30 +1天,西安,停留18时55分,710,100% 97%
2020/5/20,首都航空 南方航空,JD5607 CZ2801,丽江,三义机场,23:55,北京,大兴国际机场,10:35 +1天,重庆,停留6时30分,870,90% 100.00%
2020/5/20,东方航空 河北航空,MU9640 NS8032,丽江,三义机场,12:05,北京,大兴国际机场,21:30,西安,停留4时30分,1250,97% None
2020/5/20,华夏航空 南方航空,G52774 CZ8816,丽江,三义机场,14:15,北京,大兴国际机场,20:05,重庆,停留1时30分,1660,None None
2020/5/20,东方航空 南方航空,MU9640 CZ8824,丽江,三义机场,12:05,北京,大兴国际机场,18:45,西安,停留2时,2280,None None
2020/5/20,华夏航空 南方航空,G52852 CZ2801,荔波,荔波机场,21:45,北京,大兴国际机场,10:35 +1天,重庆,停留9时5分,1110,100.00% None
2020/5/20,华夏航空 河北航空,G52606 NS8040,荔波,荔波机场,17:15,北京,大兴国际机场,22:50,贵阳,停留2时5分,1672,77% 97%
2020/5/20,长龙航空 厦门航空,GJ8831 MF8202,连云港,白塔埠机场,14:15,北京,大兴国际机场,21:25,西宁,停留2时5分,1494,None None
